repo,percent
cassandra,15
cassandra,14
cassandra,8
cassandra,3
cassandra,6
cassandra,32
cassandra,12
cassandra,33
cassandra,11
cassandra,5
cassandra,0
cassandra,2
cassandra,4
cassandra,7
cassandra,3
cassandra,17
cassandra,4
cassandra,13
cassandra,0
cassandra,3
cassandra,5
cassandra,6
cassandra,7
cassandra,10
cassandra,0
cassandra,7
cassandra,7
cassandra,3
cassandra,4
cassandra,54
cassandra,4
cassandra,2
cassandra,11
cassandra,0
cassandra,1
cassandra,34
cassandra,2
cassandra,0
cassandra,42
cassandra,16
cassandra,16
cassandra,20
cassandra,0
cassandra,1
cassandra,21
cassandra,2
cassandra,3
cassandra,2
cassandra,2
cassandra,2
cassandra,19
cassandra,2
cassandra,8
cassandra,22
cassandra,0
cassandra,2
cassandra,59
cassandra,1
cassandra,5
cassandra,14
cassandra,0
cassandra,3
cassandra,21
cassandra,14
cassandra,25
cassandra,24
cassandra,2
cassandra,10
cassandra,6
cassandra,1
cassandra,21
cassandra,3
cassandra,1
cassandra,8
cassandra,5
cassandra,2
cassandra,6
cassandra,4
cassandra,1
cassandra,31
cassandra,21
